Wed. Apr. 23, 2014             LANDSAT 5                 Time: 10:54
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L11102026            Path/Row: 183 / 033

L0R Reference Image: L51MTI1003285080100_HDF.141131544
Acquisition Date: Oct 12, 2003

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
183   033   2000-08-24


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1830330143   39.270099   23.220228   336.516      -0.254    -0.583    -0.162    -0.616
1830330144   39.637907   22.801273   726.731      -1.243    -6.981    -0.147    -7.081
1830330145   38.682384   23.092966    39.708      -1.526     3.564    -2.065     3.281
1830330146   38.724567   23.061760    40.923       3.523     5.692     2.588     6.171
1830330148   39.177201   23.432605    55.090       2.931    -3.086     3.375    -2.593
1830330149   38.536287   22.624085  2285.658      -0.268     3.154    -0.758     3.060
1830330150   39.232929   23.283351   233.799      -4.783     4.309    -5.395     3.511
1830330151   38.945996   23.304919   450.198       3.562    -2.308     3.876    -1.724
1830330152   38.886836   23.410215   332.063      -0.487    -0.242    -0.443    -0.316
1830330153   38.564774   23.629736    49.453       4.013    -0.745     4.082    -0.107
1830330154   38.080853   23.785341   254.521       0.706     1.586     0.450     1.677
1830330155   38.559473   22.685892   668.108      -2.494     2.744    -2.891     2.316
1830330156   38.824348   23.207693    39.910       0.094    -2.463     0.477    -2.419
1830330157   38.888733   22.777005    89.323      -1.303    -4.702    -0.554    -4.848
1830330158   39.756709   22.791759   582.435      -5.098     3.793    -5.622     2.955
1830330159   39.150644   23.289367   218.781      -1.540     3.160    -2.014     2.881
1830330160   38.805707   22.592183    63.980      -1.303    -6.008    -0.350    -6.137
1830330161   38.608216   23.668870   234.394       0.478    -2.577     0.876    -2.470
1830330162   38.626991   23.091699    98.226       4.735     3.212     4.172     3.912
1830330163   38.148064   23.900851   398.935      -0.347    -3.768     0.250    -3.775
1830330164   38.650972   24.155059    68.695      -3.710     1.881    -3.957     1.278
1830330165   38.190225   22.929112    53.274      -5.207    -1.552    -4.899    -2.350
1830330167   38.657012   23.565888   688.998      -2.289    -1.413    -2.038    -1.752
1830330168   38.282602   22.551877    38.230      -3.530    -0.700    -3.378    -1.245
1830330169   38.592570   23.883882   899.507      -1.327     1.918    -1.607     1.685
1830330170   38.419546   23.584604    67.035       0.916    -3.451     1.446    -3.265
1830330171   38.661979   22.737942   457.231      -0.194     5.267    -1.017     5.167
1830330173   39.109967   23.080233   330.735      -3.396     4.731    -4.091     4.141
1830330174   38.457357   22.893576   162.901       5.316     2.551     4.848     3.350
1830330175   38.750871   22.569215   970.635       1.764     1.434     1.512     1.688
1830330176   38.600008   22.724045   191.830       3.830     0.212     3.746     0.806
1830330177   38.930338   23.358050   522.911      -1.494    -0.590    -1.383    -0.816
1830330178   38.174712   24.206296    42.192      -3.554    -0.140    -3.487    -0.697
1830330179   39.289390   23.284837    49.982      -4.058     3.231    -4.512     2.560
1830330180   38.579593   23.298321    51.569       0.585     1.746     0.304     1.816
1830330181   38.307784   23.319217   292.719       0.813     1.359     0.589     1.469
1830330183   39.078728   22.980479    95.310       2.792    -1.235     2.948    -0.786
1830330184   39.098907   23.109046    70.618      -0.765    -3.041    -0.283    -3.124
1830330185   38.563993   23.604232    44.661      -1.309    -5.544    -0.425    -5.681
1830330186   38.934741   24.487321    88.186       3.778     1.192     3.550     1.768
1830330187   38.916067   23.188736   218.717       3.345    -1.824     3.587    -1.280
1830330188   39.093628   23.728010   273.521       2.577    -4.905     3.310    -4.443
1830330189   38.729695   23.517417   164.298       4.613    -2.505     4.947    -1.754
1830330190   38.649402   22.383945  1031.549       1.413     3.066     0.910     3.242
1830330191   38.436308   24.035036   107.398       1.816    -0.214     1.829     0.073
1830330192   38.586339   22.456787  1397.421      -0.828     0.313    -0.867     0.177
1830330193   39.294857   22.922550    72.422      -3.646    -1.955    -3.299    -2.498
1830330194   38.945708   23.179263   184.329       0.162    -0.428     0.225    -0.398
1830330195   39.582196   22.803323   647.851      -0.962     4.112    -1.590     3.907
1830330196   38.622100   23.253161   383.161       0.548    -1.182     0.725    -1.082
1830330198   39.494104   22.903608   208.887      -1.855    -0.596    -1.741    -0.877
1830330199   38.505087   23.554293    44.800       2.803     3.420     2.234     3.817
1830330200   38.211090   23.259612   421.778      -0.087    -0.201    -0.054    -0.213
1830330201   39.655885   22.792299   350.445       0.927     4.213     0.259     4.301
1830330202   38.821778   24.432743    52.025      -2.048     1.074    -2.188     0.741
1830330203   38.950482   23.404063   159.138       1.378     0.706     1.250     0.912
1830330204   38.297792   22.685306    36.000      -2.667     3.818    -3.234     3.351
1830330205   39.338046   24.141897   123.182      -3.577    -0.982    -3.381    -1.527
1830330206   38.177567   23.855109   314.386      -1.136     0.188    -1.149     0.007
1830330208   39.034776   24.062572    51.888       0.667     0.232     0.624     0.333
1830330209   38.061403   23.632462    95.338       0.892     0.290     0.836     0.427
1830330210   38.269024   23.691031   122.302       1.624     1.536     1.364     1.772
1830330211   39.304563   23.125993    46.567      -1.689    -4.601    -0.954    -4.808
1830330212   38.988861   23.269250   230.521       5.840    -0.175     5.793     0.736
1830330213   38.564359   23.219337   237.292      -0.470     1.387    -0.682     1.295
1830330214   38.531999   24.216602    57.191      -2.747     3.703    -3.292     3.228
1830330216   38.352625   23.165482   128.425       4.045     5.466     3.137     6.030
1830330217   38.408730   24.024950   108.483       2.074    -3.623     2.618    -3.253
1830330218   38.884146   22.464925    50.632       0.276    -0.762     0.388    -0.710
1830330219   39.293850   22.615358   336.468      -2.288    -1.419    -2.040    -1.757
1830330220   38.112923   23.778006   292.024       0.921    -1.818     1.196    -1.651
1830330221   39.329283   23.028250    65.755       1.785    -1.737     2.032    -1.439
1830330222   38.679754   23.192206    41.947      -0.563     2.886    -1.008     2.761
1830330223   38.300006   24.210437   102.957      -1.822     4.392    -2.486     4.053
1830330224   38.629389   24.072453   355.616       2.145    -4.970     2.897    -4.572
1830330225   38.737636   22.929603   376.672       2.825    -1.692     3.051    -1.231
1830330226   38.837669   23.395768   284.564       2.083    -1.483     2.288    -1.140
1830330227   38.419796   23.548536   292.127       1.593    -0.266     1.615    -0.013
1830330229   38.500244   23.134809   178.878       1.318    -0.108     1.318     0.099
1830330230   38.235072   23.318960   382.024      -3.036     0.894    -3.137     0.406
1830330232   39.185416   22.767088    86.999      -2.853    -2.680    -2.402    -3.091
1830330234   38.314698   23.169843   294.706       2.700     1.025     2.504     1.434
1830330236   38.021939   23.982998    84.793       2.511    -0.808     2.609    -0.403
1830330237   38.830152   23.299103   345.347       3.465    -5.116     4.219    -4.510
1830330239   38.144389   23.841151   412.980      -1.022    -1.118    -0.832    -1.264
1830330240   39.148928   23.401432    47.097      -0.600     0.497    -0.671     0.397
1830330241   39.168217   23.409726    42.884       2.071     2.133     1.713     2.429
1830330243   38.902757   22.489524    75.707       3.083    -5.096     3.837    -4.553
1830330244   39.393704   22.844094   221.283      -2.363    -1.266    -2.139    -1.617
1830330245   38.670023   24.130040    52.682      -3.887     2.283    -4.195     1.646
1830330246   38.254338   23.898904   562.673      -3.549    -0.231    -3.465    -0.785
1830330247   38.347672   23.546348   195.618      -0.169     2.733    -0.595     2.672
1830330250   38.533725   23.945877   767.729      -5.894    -6.164    -4.851    -7.005
1830330251   38.278840   23.663618   156.083      -1.522     0.356    -1.557     0.112
